"Mot";"Pinyin";"Nature / Structure";"Signification";"Exemple";"HSK";"Chapitre"
"恩爱";"ēn’ài";"adj.";"(pour mari et femme) affectueux, aimant";"他们是一对恩爱的夫妻。
tāmen shì yī duì ēn’ài de fūqī。
C’est un couple aimant。";"5";"1"
"对比";"duìbǐ";"v.";"comparer, contraster";"通过对比，我们能看出不同。
tōngguò duìbǐ，wǒmen néng kànchū bùtóng。
Grâce à la comparaison, on voit la différence。";"5";"1"
"入围";"rùwéi";"v.";"être sélectionné, figurer sur la liste";"他入围了比赛的决赛。
tā rùwéi le bǐsài de juésài。
Il a été sélectionné pour la finale。";"5";"1"
"评委";"píngwěi";"n.";"membre du jury";"评委们在讨论结果。
píngwěi men zài tǎolùn jiéguǒ。
Les jurés discutent du résultat。";"5";"1"
"瘫痪";"tānhuàn";"v.";"être paralysé";"他因为事故瘫痪了。
tā yīnwèi shìgù tānhuàn le。
Il est devenu paralysé à cause d’un accident。";"5";"1"
"离婚";"líhūn";"v.";"divorcer";"他们去年离婚了。
tāmen qùnián líhūn le。
Ils ont divorcé l’an dernier。";"5";"1"
"自杀";"zìshā";"v.";"se suicider";"他因为压力太大而自杀了。
tā yīnwèi yālì tài dà ér zìshā le。
Il s’est suicidé à cause du stress。";"5";"1"
"抱怨";"bàoyuàn";"v.";"se plaindre";"别总是抱怨生活。
bié zǒng shì bàoyuàn shēnghuó。
Ne te plains pas toujours de la vie。";"5";"1"
"爱护";"àihù";"v.";"prendre soin de, chérir";"我们要爱护动物。
wǒmen yào àihù dòngwù。
Nous devons protéger les animaux。";"5";"1"
"婚姻";"hūnyīn";"n.";"mariage";"他们的婚姻很幸福。
tāmen de hūnyīn hěn xìngfú。
Leur mariage est heureux。";"5";"1"
"吵架";"chǎojià";"v.";"se disputer";"他们昨天又吵架了。
tāmen zuótiān yòu chǎojià le。
Ils se sont disputés hier。";"5";"1"
"相敬如宾";"xiāngjìng rúbīn";"idiome";"se respecter mutuellement (comme des invités)";"他们相敬如宾。
tāmen xiāngjìng rúbīn。
Ils se respectent profondément。";"5";"1"
"暗暗";"àn’àn";"adv.";"en secret, discrètement";"他暗暗地笑了。
tā àn’àn de xiào le。
Il a ri en secret。";"5";"1"
"轮";"lún";"v.";"se relayer, faire à tour de rôle";"我们轮流开车。
wǒmen lúnliú kāichē。
Nous conduisons à tour de rôle。";"5";"1"
"不耐烦";"búnàifán";"adj.";"impatient";"他等得有点不耐烦了。
tā děng de yǒu diǎn búnàifán le。
Il commence à perdre patience。";"5";"1"
"喊";"hǎn";"v.";"crier, appeler";"他大声喊她的名字。
tā dàshēng hǎn tā de míngzì。
Il crie son nom à haute voix。";"5";"1"
"伸";"shēn";"v.";"étendre, allonger";"他伸出手打招呼。
tā shēnchū shǒu dǎ zhāohu。
Il tend la main pour saluer。";"5";"1"
"手指";"shǒuzhǐ";"n.";"doigt";"她的手指很漂亮。
tā de shǒuzhǐ hěn piàoliang。
Ses doigts sont jolis。";"5";"1"
"歪歪扭扭";"wāiwāiniǔniǔ";"adj.";"de travers, mal écrit";"他写的字歪歪扭扭的。
tā xiě de zì wāiwāiniǔniǔ de。
Son écriture est toute tordue。";"5";"1"
"递";"dì";"v.";"remettre, passer";"请把那本书递给我。
qǐng bǎ nà běn shū dì gěi wǒ。
Passe-moi ce livre, s’il te plaît。";"5";"1"
"脑袋";"nǎodai";"n.";"tête";"他的脑袋很聪明。
tā de nǎodai hěn cōngmíng。
Il est malin。";"5";"1"
"女士";"nǚshì";"n.";"madame";"这位女士很有礼貌。
zhè wèi nǚshì hěn yǒu lǐmào。
Cette dame est très polie。";"5";"1"
"叙述";"xùshù";"v.";"raconter, décrire";"他叙述了事情的经过。
tā xùshù le shìqíng de jīngguò。
Il a raconté ce qui s’est passé。";"5";"1"
"催";"cuī";"v.";"presser, pousser à faire";"妈妈催我快点起床。
māma cuī wǒ kuài diǎn qǐchuáng。
Maman me presse de me lever。";"5";"1"
"等待";"děngdài";"v.";"attendre";"我们在车站等待朋友。
wǒmen zài chēzhàn děngdài péngyou。
Nous attendons un ami à la gare。";"5";"1"
"蚊子";"wénzi";"n.";"moustique";"昨晚蚊子太多了。
zuó wǎn wénzi tài duō le。
Il y avait trop de moustiques hier soir。";"5";"1"
"半夜";"bànyè";"n.";"minuit, milieu de la nuit";"他半夜醒来了。
tā bànyè xǐng lái le。
Il s’est réveillé au milieu de la nuit。";"5";"1"
"叮";"dīng";"v.";"piquer (moustique)";"我被蚊子叮了。
wǒ bèi wénzi dīng le。
J’ai été piqué par un moustique。";"5";"1"
"老婆";"lǎopo";"n.";"femme (familier)";"他对老婆很体贴。
tā duì lǎopo hěn tǐtiē。
Il est très attentionné envers sa femme。";"5";"1"
"吵";"chǎo";"v./adj.";"faire du bruit, bruyant";"外面太吵了。
wàimiàn tài chǎo le。
C’est trop bruyant dehors。";"5";"1"
"项";"xiàng";"m.";"classificateur pour projets ou catégories";"他们得了三项奖。
tāmen dé le sān xiàng jiǎng。
Ils ont gagné trois prix。";"5";"1"
"患难与共";"huànnàn yǔgòng";"expr.";"partager joies et peines, traverser les épreuves ensemble";"他们是一对患难与共的夫妻。
tāmen shì yī duì huànnàn yǔgòng de fūqī。
C’est un couple uni dans les épreuves。";"5";"1"
"居然";"jūrán";"adv.";"Marque la surprise ou l’inattendu, souvent utilisée quand un fait est contraire à ce qu’on imaginait";"这么简单的题，你居然也不会做？上课时都干什么去了？
zhème jiǎndān de tí, nǐ jūrán yě bú huì zuò? shàngkè shí dōu gàn shénme qù le?
Une question aussi simple et tu ne sais même pas la faire ? Que fais-tu en cours？

没想到居然在这儿碰到你！你也去上海？
méi xiǎngdào jūrán zài zhèr pèngdào nǐ! nǐ yě qù Shànghǎi?
Je ne pensais pas te rencontrer ici ! Toi aussi tu vas à Shanghai？

这个女人为了不影响丈夫睡觉，居然放弃这次机会！
zhège nǚrén wèile bù yǐngxiǎng zhàngfu shuìjiào, jūrán fàngqì zhè cì jīhuì!
Cette femme, pour ne pas déranger le sommeil de son mari, a carrément renoncé à cette opportunité！";"5";"1"

"靠";"kào";"v.";"Indique qu’on s’appuie sur quelque chose ou quelqu’un, qu’on dépend de quelque chose, ou qu’on est proche de quelque chose (physiquement ou figurativement)";"王老师喜欢靠着桌子讲课。
wáng lǎoshī xǐhuān kào zhe zhuōzi jiǎng kè。
Le professeur Wang aime s’appuyer sur la table pour faire cours。

没有一个人可以完全不靠别人而生活。
méiyǒu yī gè rén kěyǐ wánquán bù kào biérén ér shēnghuó。
Personne ne peut vivre sans dépendre des autres。

我的座位是靠窗的。
wǒ de zuòwèi shì kào chuāng de。
Mon siège est près de la fenêtre。";"5";"1"

"如何";"rúhé";"pron.";"S’emploie pour interroger sur la manière ou l’état, souvent à l’écrit ; peut aussi se placer en fin de phrase pour solliciter un avis";"我们明天举行会议，讨论这个问题该如何解决。
wǒmen míngtiān jǔxíng huìyì，tǎolùn zhège wèntí gāi rúhé jiějué。
Nous tiendrons une réunion demain pour discuter de la manière de résoudre ce problème。

我们希望由你来负责解决这个问题，如何？
wǒmen xīwàng yóu nǐ lái fùzé jiějué zhège wèntí，rúhé？
Nous espérons que tu prendras en charge la résolution de ce problème, qu’en dis-tu？";"5";"1"
"串";"chuàn";"m.";"bunch, string";"妈妈买了一串葡萄。
Māma mǎile yí chuàn pútao。
Maman a acheté une grappe de raisins。";"5";"2"
"一辈子";"yíbèizi";"n.";"toute une vie";"他们一辈子都住在这个城市。
Tāmen yíbèizi dōu zhù zài zhège chéngshì。
Ils ont vécu toute leur vie dans cette ville。";"5";"2"
"农村";"nóngcūn";"n.";"campagne";"我爷爷奶奶住在农村。
Wǒ yéye nǎinai zhù zài nóngcūn。
Mes grands-parents vivent à la campagne。";"5";"2"
"屋(子)";"wū(zi)";"n.";"maison, pièce";"这间屋子很干净。
Zhè jiān wūzi hěn gānjìng。
Cette pièce est très propre。";"5";"2"
"断";"duàn";"v.";"couper, interrompre";"他们的联系断了。
Tāmen de liánxì duàn le。
Ils ont perdu le contact。";"5";"2"
"以来";"yǐlái";"n.";"depuis";"自从去年以来，他每天都锻炼。
Zìcóng qùnián yǐlái, tā měitiān dōu duànliàn。
Depuis l’année dernière, il fait de l’exercice chaque jour。";"5";"2"
"姥姥";"lǎolao";"n.";"grand-mère maternelle";"我姥姥做的饭最好吃。
Wǒ lǎolao zuò de fàn zuì hǎochī。
Les plats de ma grand-mère sont les meilleurs。";"5";"2"
"舅舅";"jiùjiu";"n.";"oncle maternel";"我舅舅在北京工作。
Wǒ jiùjiu zài Běijīng gōngzuò。
Mon oncle travaille à Pékin。";"5";"2"
"姑姑";"gūgu";"n.";"tante paternelle";"我姑姑家有两只猫。
Wǒ gūgu jiā yǒu liǎng zhī māo。
Ma tante a deux chats。";"5";"2"
"坚决";"jiānjué";"adj.";"déterminé, résolu";"他坚决地拒绝了。
Tā jiānjué de jùjué le。
Il a refusé fermement。";"5";"2"
"打工";"dǎ gōng";"v.";"travailler (temporairement), faire un petit boulot";"他在餐厅打工。
Tā zài cāntīng dǎgōng。
Il travaille dans un restaurant。";"5";"2"
"挣";"zhèng";"v.";"gagner (de l’argent)";"他一个月挣五千块。
Tā yí ge yuè zhèng wǔ qiān kuài。
Il gagne cinq mille yuans par mois。";"5";"2"
"县";"xiàn";"n.";"comté";"他住在一个小县里。
Tā zhù zài yí ge xiǎo xiàn lǐ。
Il habite dans un petit comté。";"5";"2"
"套";"tào";"m.";"ensemble, série, appartement";"我们买了一套新房。
Wǒmen mǎi le yí tào xīnfáng。
Nous avons acheté un nouvel appartement。";"5";"2"
"装修";"zhuāngxiū";"v.";"décorer, rénover";"他们正在装修房子。
Tāmen zhèngzài zhuāngxiū fángzi。
Ils sont en train de rénover la maison。";"5";"2"
"不得了";"bùdéliǎo";"adj.";"extrêmement, terriblement";"他高兴得不得了。
Tā gāoxìng de bùdéliǎo。
Il est extrêmement content。";"5";"2"
"醉";"zuì";"v.";"être ivre";"他喝醉了。
Tā hē zuì le。
Il est saoul。";"5";"2"
"强烈";"qiángliè";"adj.";"fort, intense";"我强烈地反对。
Wǒ qiángliè de fǎnduì。
Je m’y oppose fermement。";"5";"2"
"夜";"yè";"n.";"nuit";"昨夜下了大雨。
Zuó yè xià le dàyǔ。
Il a beaucoup plu la nuit dernière。";"5";"2"
"锁";"suǒ";"n./v.";"serrure ; fermer à clé";"门锁坏了。
Mén suǒ huài le。
La serrure est cassée。";"5";"2"
"临";"lín";"prep.";"être sur le point de, juste avant";"临走前，他说了再见。
Lín zǒu qián, tā shuō le zàijiàn。
Avant de partir, il a dit au revoir。";"5";"2"
"悄悄";"qiāoqiāo";"adv.";"silencieusement, en secret";"他悄悄地走了。
Tā qiāoqiāo de zǒu le。
Il est parti discrètement。";"5";"2"
"晒";"shài";"v.";"sécher au soleil";"妈妈在晒衣服。
Māma zài shài yīfu。
Maman fait sécher les vêtements。";"5";"2"
"被子";"bèizi";"n.";"couette, couverture";"床上的被子很暖和。
Chuáng shàng de bèizi hěn nuǎnhuo。
La couverture sur le lit est chaude。";"5";"2"
"长途";"chángtú";"adj.";"longue distance";"他坐长途汽车回家。
Tā zuò chángtú qìchē huí jiā。
Il rentre chez lui en bus longue distance。";"5";"2"
"冻";"dòng";"v.";"geler, avoir froid";"外面太冷了，我的手都冻了。
Wàimiàn tài lěng le, wǒ de shǒu dōu dòng le。
Il fait si froid dehors que mes mains ont gelé。";"5";"2"
"想象";"xiǎngxiàng";"v.";"imaginer";"我无法想象没有你的日子。
Wǒ wúfǎ xiǎngxiàng méiyǒu nǐ de rìzi。
Je ne peux pas imaginer ma vie sans toi。";"5";"2"
"灰尘";"huīchén";"n.";"poussière";"桌子上有很多灰尘。
Zhuōzi shàng yǒu hěn duō huīchén。
Il y a beaucoup de poussière sur la table。";"5";"2"
"亮";"liàng";"adj./v.";"brillant, briller";"天亮了。
Tiān liàng le。
Le jour se lève。";"5";"2"
"微笑";"wēixiào";"v./n.";"sourire";"她微笑着看着我。
Tā wēixiào zhe kàn zhe wǒ。
Elle me regarde en souriant。";"5";"2"
"温暖";"wēnnuǎn";"adj./v.";"chaud, réchauffer";"阳光让人感觉很温暖。
Yángguāng ràng rén gǎnjué hěn wēnnuǎn。
Le soleil donne une sensation de chaleur。";"5";"2"
"立刻";"lìkè";"adv.";"immédiatement";"请你立刻过来。
Qǐng nǐ lìkè guòlái。
Viens ici immédiatement。";"5";"2"
"扑";"pū";"v.";"se jeter sur, bondir";"小猫扑到妈妈的怀里。
Xiǎo māo pū dào māma de huái lǐ。
Le chaton s’est jeté dans les bras de sa mère。";"5";"2"
"卧室";"wòshì";"n.";"chambre";"卧室里很整洁。
Wòshì lǐ hěn zhěngjié。
La chambre est bien rangée。";"5";"2"
"铺";"pū";"v.";"étaler, déplier";"他在床上铺好被子。
Tā zài chuáng shàng pū hǎo bèizi。
Il a étalé la couverture sur le lit。";"5";"2"
"飘";"piāo";"v.";"flotter, voltiger";"树叶在空中飘。
Shùyè zài kōngzhōng piāo。
Les feuilles flottent dans les airs。";"5";"2"
"阵";"zhèn";"m.";"classificateur pour actions brèves (rafale, période)";"一阵风吹过。
Yí zhèn fēng chuī guò。
Une rafale de vent a soufflé。";"5";"2"
"感受";"gǎnshòu";"v./n.";"ressentir, sentiment";"我能感受到你的爱。
Wǒ néng gǎnshòu dào nǐ de ài。
Je peux ressentir ton amour。";"5";"2"
"流泪";"liú lèi";"v.";"verser des larmes";"她感动得流泪了。
Tā gǎndòng de liú lèi le。
Elle a été émue aux larmes。";"5";"2"
"以来";"yǐlái";"n. (utilisé après une période ou un événement)";"depuis… jusqu’à maintenant (indique une durée depuis un moment passé jusqu’au présent)";"改革开放以来，中国发生了巨大的变化。
Gǎigé kāifàng yǐlái, Zhōngguó fāshēng le jùdà de biànhuà。
Depuis la politique de réforme et d’ouverture, la Chine a connu d’immenses changements。";"5";"2"
"临";"lín";"v. / prep.";"verbe : approcher, faire face à ; préposition : juste avant (un moment ou une action)";"我想买一套不临街的房子，这样不会太吵。
Wǒ xiǎng mǎi yí tào bù lín jiē de fángzi, zhèyàng bú huì tài chǎo。
Je veux acheter un appartement qui ne donne pas sur la rue, pour qu’il soit plus calme。

临走那天，父亲从老家赶来送我们。
Lín zǒu nà tiān, fùqīn cóng lǎojiā gǎn lái sòng wǒmen。
Le jour de notre départ, mon père est venu de la maison familiale pour nous dire au revoir。";"5";"2"
"立刻";"lìkè";"adv.";"immédiatement, aussitôt (souligne qu’une action suit immédiatement une autre)";"上了楼，开门的竟是微笑着的父母，温暖的气息立刻扑面而来。
Shàng le lóu, kāimén de jìng shì wēixiào zhe de fùmǔ, wēnnuǎn de qìxī lìkè pū miàn ér lái。
En montant à l’étage, mes parents m’ont ouvert la porte en souriant, et une chaleur bienfaisante m’a aussitôt enveloppé。";"5";"2"
"晴";"qíng";"adj.";"ensoleillé";"今天是晴天。
jīntiān shì qíngtiān。
Aujourd’hui il fait beau。";"5";"3"
"阴";"yīn";"adj.";"nuageux";"今天阴天，没有太阳。
jīntiān yīn tiān, méiyǒu tàiyáng。
Le temps est nuageux aujourd’hui。";"5";"3"
"多云";"duōyún";"adj.";"partiellement nuageux";"明天多云，有时会下雨。
míngtiān duōyún, yǒushí huì xiàyǔ。
Demain il y aura des nuages, parfois de la pluie。";"5";"3"
"雨后彩虹";"yǔhòu cǎihóng";"n.";"arc-en-ciel après la pluie";"雨后出现了一道彩虹。
yǔhòu chūxiàn le yí dào cǎihóng。
Un arc-en-ciel est apparu après la pluie。";"5";"3"
"雷阵雨";"léizhènyǔ";"n.";"averse orageuse";"下午有雷阵雨。
xiàwǔ yǒu léizhènyǔ。
Il y aura des orages dans l’après-midi。";"5";"3"
"雨转晴";"yǔ zhuǎn qíng";"expr.";"la pluie cesse et le beau temps revient";"雨转晴了，太阳出来了。
yǔ zhuǎn qíng le, tàiyáng chūlái le。
La pluie a cessé, le soleil est revenu。";"5";"3"
"人生";"rénshēng";"n.";"vie (humaine)";"他在思考人生的意义。
tā zài sīkǎo rénshēng de yìyì。
Il réfléchit au sens de la vie。";"5";"3"
"工人";"gōngrén";"n.";"ouvrier";"我爸爸是工人。
wǒ bàba shì gōngrén。
Mon père est ouvrier。";"5";"3"
"稳定";"wěndìng";"adj.";"stable";"他们的工作很稳定。
tāmen de gōngzuò hěn wěndìng。
Leur travail est stable。";"5";"3"
"待遇";"dàiyù";"n.";"salaire, traitement";"这个公司的待遇很好。
zhège gōngsī de dàiyù hěn hǎo。
Cette entreprise offre de bonnes conditions。";"5";"3"
"发愁";"fāchóu";"v.";"s’inquiéter, se faire du souci";"别为小事发愁。
bié wèi xiǎoshì fāchóu。
Ne t’inquiète pas pour des petites choses。";"5";"3"
"平静";"píngjìng";"adj.";"calme, paisible";"湖面很平静。
húmiàn hěn píngjìng。
La surface du lac est calme。";"5";"3"
"帆船";"fānchuán";"n.";"voilier";"他买了一艘帆船。
tā mǎi le yì sōu fānchuán。
Il a acheté un voilier。";"5";"3"
"撞";"zhuàng";"v.";"heurter, percuter";"他骑车撞到树上了。
tā qíchē zhuàng dào shù shàng le。
Il a percuté un arbre à vélo。";"5";"3"
"艘";"sōu";"m.";"classificateur pour bateaux";"港口里停着三艘船。
gǎngkǒu lǐ tíng zhe sān sōu chuán。
Trois bateaux sont amarrés dans le port。";"5";"3"
"航行";"hángxíng";"v.";"naviguer (en mer ou dans les airs)";"船在海上航行。
chuán zài hǎi shàng hángxíng。
Le bateau navigue sur la mer。";"5";"3"
"积蓄";"jīxù";"n./v.";"économies ; économiser";"他把积蓄都用来买房子了。
tā bǎ jīxù dōu yòng lái mǎi fángzi le。
Il a utilisé toutes ses économies pour acheter une maison。";"5";"3"
"二手";"èrshǒu";"adj.";"d’occasion";"我买了一辆二手车。
wǒ mǎi le yì liàng èrshǒu chē。
J’ai acheté une voiture d’occasion。";"5";"3"
"彩虹";"cǎihóng";"n.";"arc-en-ciel";"雨后天上有彩虹。
yǔhòu tiān shàng yǒu cǎihóng。
Un arc-en-ciel apparaît après la pluie。";"5";"3"
"包括";"bāokuò";"v.";"inclure, comprendre";"价格包括早餐。
jiàgé bāokuò zǎocān。
Le prix inclut le petit-déjeuner。";"5";"3"
"疯";"fēng";"adj./v.";"fou ; devenir fou";"他为了这件事快疯了。
tā wèile zhè jiàn shì kuài fēng le。
Il en devient fou。";"5";"3"
"辞职";"cízhí";"v.";"démissionner";"他决定辞职去旅行。
tā juédìng cízhí qù lǚxíng。
Il a décidé de démissionner pour voyager。";"5";"3"
"驾驶";"jiàshǐ";"v.";"conduire, piloter";"他会驾驶飞机。
tā huì jiàshǐ fēijī。
Il sait piloter un avion。";"5";"3"
"轮流";"lúnliú";"v.";"faire à tour de rôle";"我们轮流开车。
wǒmen lúnliú kāichē。
Nous conduisons à tour de rôle。";"5";"3"
"钓";"diào";"v.";"pêcher à la ligne";"爷爷喜欢钓鱼。
yéye xǐhuān diàoyú。
Grand-père aime pêcher。";"5";"3"
"顿";"dùn";"m.";"classificateur pour repas";"我们一起吃了一顿饭。
wǒmen yìqǐ chī le yí dùn fàn。
Nous avons mangé un repas ensemble。";"5";"3"
"海鲜";"hǎixiān";"n.";"fruits de mer";"我喜欢吃海鲜。
wǒ xǐhuān chī hǎixiān。
J’aime les fruits de mer。";"5";"3"
"傍晚";"bàngwǎn";"n.";"soirée, crépuscule";"傍晚的风很凉快。
bàngwǎn de fēng hěn liángkuai。
La brise du soir est fraîche。";"5";"3"
"舒适";"shūshì";"adj.";"confortable";"房间很舒适。
fángjiān hěn shūshì。
La chambre est confortable。";"5";"3"
"干活儿";"gàn huór";"v.";"travailler, faire des travaux manuels";"他每天在农场干活儿。
tā měitiān zài nóngchǎng gànhuór。
Il travaille chaque jour à la ferme。";"5";"3"
"盼望";"pànwàng";"v.";"espérer, attendre avec impatience";"孩子盼望放假。
háizi pànwàng fàngjià。
Les enfants attendent les vacances avec impatience。";"5";"3"
"陆地";"lùdì";"n.";"terre ferme";"他们终于回到陆地。
tāmen zhōngyú huídào lùdì。
Ils sont enfin revenus sur la terre ferme。";"5";"3"
"各自";"gèzì";"pron.";"chacun, respectif";"他们各自去上班。
tāmen gèzì qù shàngbān。
Chacun est parti au travail。";"5";"3"
"勿";"wù";"adv.";"ne pas (langage formel, impératif)";"请勿吸烟。
qǐng wù xīyān。
Ne pas fumer s’il vous plaît。";"5";"3"
"时刻";"shíkè";"n.";"moment, instant";"我会记住这一刻。
wǒ huì jìzhù zhè yí kè。
Je me souviendrai de ce moment。";"5";"3"
"着火";"zháohuǒ";"v.";"prendre feu";"厨房着火了！
chúfáng zháohuǒ le！
La cuisine a pris feu！";"5";"3"
"漏";"lòu";"v.";"fuir, couler (liquide ou gaz)";"屋顶漏水了。
wūdǐng lòu shuǐ le。
Le toit fuit。";"5";"3"
"雷";"léi";"n.";"tonnerre";"外面打雷了。
wàimiàn dǎléi le。
Il y a du tonnerre dehors。";"5";"3"
"随时";"suíshí";"adv.";"à tout moment";"你可以随时来。
nǐ kěyǐ suíshí lái。
Tu peux venir à tout moment。";"5";"3"
"闪电";"shǎndiàn";"n.";"éclair, foudre";"天空中有闪电。
tiānkōng zhōng yǒu shǎndiàn。
Il y a des éclairs dans le ciel。";"5";"3"
"击";"jī";"v.";"frapper, toucher";"球击中了门柱。
qiú jī zhòng le ménzhù。
La balle a touché le poteau。";"5";"3"
"拥抱";"yǒngbào";"v.";"embrasser, étreindre";"他们紧紧地拥抱。
tāmen jǐnjǐn de yǒngbào。
Ils se sont serrés dans les bras。";"5";"3"
"海里";"hǎilǐ";"m.";"mille marin";"他们航行了四千多海里。
tāmen hángxíng le sì qiān duō hǎilǐ。
Ils ont navigué plus de quatre mille milles marins。";"5";"3"
"台阶";"táijiē";"n.";"marche, degré d’escalier";"他坐在台阶上休息。
tā zuò zài táijiē shàng xiūxi。
Il s’est assis sur les marches pour se reposer。";"5";"3"
"未来";"wèilái";"n.";"avenir, futur";"我们对未来充满希望。
wǒmen duì wèilái chōngmǎn xīwàng。
Nous sommes pleins d’espoir pour l’avenir。";"5";"3"
"太太";"tàitai";"n.";"épouse, madame";"他太太很温柔。
tā tàitai hěn wēnróu。
Sa femme est très douce。";"5";"3"
